 ,X_(px),Y_(px),Frame_Number,X_(nm),X_loc_error(nm),Y_(nm),Y_loc_error(nm),Z_(nm),Z_loc_error(nm),Amplitude_fit,Amp_error,BGfit,BGfit_error,SD_X_(nm),SD_X_error(nm),SD_Y_(nm),SD_Y_error(nm),False_positive,IntegratedInt,SNR,R2_fit,Iterations_fit,Track_ID,Particle_ID,Track_Length,Reverse_numbering
1,54.54,17.00,1,3490.47,9.77,1088.13,8.92,0,0,93.26,5.21,128.95,1.45,134.97,8.62,123.25,7.87,0,3205.98,5.32,0.45,2,1,1,15,15
2,54.58,17.11,2,3493.19,6.84,1094.97,6.27,0,0,139.38,6.77,135.38,1.47,108.19,5.97,99.19,5.47,0,3171.16,5.57,0.55,3,1,2,15,14
3,54.91,17.06,3,3514.17,7.36,1091.99,8.76,0,0,101.79,5.50,129.79,1.33,104.69,6.45,124.62,7.67,0,2023.32,4.37,0.49,3,1,3,15,13
4,55.02,17.65,4,3521.48,6.83,1129.85,9.38,0,0,107.60,5.75,128.13,1.41,98.45,5.99,135.15,8.22,0,1870.14,4.50,0.49,4,1,4,15,12
5,54.62,17.64,5,3495.80,6.76,1129.02,7.05,0,0,136.48,6.88,131.31,1.52,102.95,5.90,107.41,6.15,0,2927.43,6.30,0.53,3,1,5,15,11
6,54.26,17.44,6,3472.63,10.91,1116.46,10.08,0,0,91.44,5.91,129.31,1.59,130.17,9.61,120.25,8.88,0,1144.50,3.53,0.39,3,1,6,15,10
7,54.76,17.31,7,3504.58,6.95,1107.69,7.65,0,0,127.84,6.41,130.84,1.51,106.56,6.08,117.22,6.69,0,2735.52,5.89,0.53,3,1,7,15,9
8,54.62,17.00,9,3495.52,7.58,1088.30,7.04,0,0,127.45,6.28,131.14,1.52,118.40,6.64,109.95,6.17,0,4169.48,5.40,0.53,3,1,8,15,8
9,54.63,17.16,10,3496.22,6.99,1098.37,7.75,0,0,121.32,6.13,131.43,1.45,106.36,6.12,117.89,6.78,0,3290.41,7.63,0.52,3,1,9,15,7
10,54.38,17.62,11,3480.31,6.87,1127.52,6.84,0,0,124.77,6.28,129.54,1.38,104.77,5.99,104.45,5.97,0,2114.20,6.32,0.53,3,1,10,15,6
11,54.60,17.61,14,3494.59,8.52,1126.79,8.77,0,0,111.29,6.64,133.64,1.56,109.95,7.46,113.12,7.68,0,2885.86,5.74,0.44,3,1,11,15,5
12,54.79,17.26,16,3506.50,6.64,1104.34,6.71,0,0,144.33,6.92,131.61,1.56,106.50,5.80,107.55,5.86,0,3554.43,7.31,0.56,4,1,12,15,4
13,54.93,17.17,17,3515.24,5.51,1099.01,5.45,0,0,149.97,6.78,127.75,1.30,93.58,4.79,92.47,4.74,0,2396.66,7.87,0.60,4,1,13,15,3
14,54.87,17.38,18,3511.87,8.24,1112.15,7.69,0,0,115.62,6.14,130.74,1.50,119.34,7.22,111.44,6.74,0,2708.73,5.59,0.49,3,1,14,15,2
15,54.82,17.43,19,3508.32,6.97,1115.60,8.64,0,0,118.34,6.67,132.48,1.48,94.92,6.08,117.78,7.54,0,2331.80,5.17,0.48,4,1,15,15,1
16,103.15,233.78,1,6601.29,14.23,14961.62,12.69,0,0,70.44,5.72,132.27,1.57,135.10,12.54,120.46,11.19,0,2889.38,3.22,0.28,3,2,1,2,2
17,104.02,229.48,3,6657.37,10.18,14686.94,9.27,0,0,91.63,5.09,131.45,1.50,141.75,9.02,129.03,8.20,0,2066.82,3.88,0.44,3,2,2,2,1
18,186.16,503.65,1,11914.26,18.11,32233.56,20.91,0,0,42.74,4.93,129.87,1.39,121.04,15.98,139.75,18.45,0,0.00,0.00,0.16,3,3,1,2,2
19,181.60,501.88,2,11622.21,12.23,32120.57,13.42,0,0,70.86,6.65,132.48,1.46,100.12,10.67,109.85,11.71,0,865.41,3.15,0.25,3,3,2,2,1
20,199.56,411.50,1,12771.62,12.35,26336.31,11.00,0,0,72.12,4.41,127.54,1.44,156.58,11.02,139.56,9.80,0,2488.21,3.89,0.38,3,4,1,3,3
21,197.16,407.30,2,12618.34,9.36,26067.07,7.76,0,0,117.86,7.07,132.84,1.63,120.05,8.18,99.51,6.78,0,3752.59,6.34,0.44,3,4,2,3,2
22,201.58,406.46,3,12901.19,8.04,26013.23,8.66,0,0,114.09,7.00,133.65,1.53,100.66,7.02,108.33,7.55,0,3031.93,5.15,0.44,3,4,3,3,1
23,239.73,458.68,1,15342.78,5.52,29355.57,5.51,0,0,167.16,6.71,126.61,1.49,105.58,4.82,105.44,4.81,0,2352.46,9.79,0.64,3,5,1,4,4
24,240.28,458.70,3,15377.95,4.40,29356.75,4.64,0,0,198.48,7.20,129.63,1.43,93.04,3.83,98.12,4.04,0,2986.48,8.50,0.70,4,5,2,4,3
25,239.94,458.63,4,15356.14,4.27,29352.34,3.96,0,0,193.99,6.39,130.37,1.27,99.53,3.71,92.40,3.45,0,2991.16,9.83,0.74,4,5,3,4,2
26,239.90,458.84,6,15353.72,5.77,29365.57,6.84,0,0,157.43,6.91,127.21,1.60,101.15,5.05,119.96,5.98,0,3319.55,8.21,0.60,3,5,4,4,1
27,252.05,16.05,1,16131.04,8.17,1027.02,5.33,0,0,171.59,6.81,133.84,1.87,158.48,7.23,103.58,4.70,0,4557.68,8.45,0.62,3,6,1,12,12
28,252.09,15.92,3,16133.97,10.03,1018.58,6.44,0,0,156.22,7.43,138.24,2.08,162.30,8.91,104.47,5.68,0,5181.39,7.06,0.53,4,6,2,12,11
29,252.40,15.94,5,16153.57,9.16,1019.88,5.48,0,0,149.36,6.36,136.44,1.75,165.68,8.12,99.30,4.83,0,4262.66,6.24,0.59,3,6,3,12,10
30,251.97,15.81,6,16125.91,8.21,1012.01,5.10,0,0,178.64,7.23,134.40,1.90,156.14,7.25,97.18,4.49,0,3702.39,8.26,0.62,5,6,4,12,9
31,252.38,15.79,8,16152.38,8.23,1010.31,5.72,0,0,176.07,7.51,139.90,1.99,148.44,7.27,103.38,5.04,0,5165.39,7.95,0.59,3,6,5,12,8
32,252.36,15.97,9,16150.80,7.17,1022.05,4.87,0,0,196.85,7.28,133.34,1.91,149.05,6.33,101.40,4.28,0,4632.20,8.88,0.66,4,6,6,12,7
33,252.11,15.86,11,16135.20,7.46,1014.88,4.98,0,0,191.10,7.43,135.24,1.91,147.55,6.56,98.69,4.38,0,5071.71,9.44,0.64,4,6,7,12,6
34,252.51,16.14,12,16160.68,8.04,1032.85,5.32,0,0,197.43,8.69,138.14,2.10,140.36,7.06,93.06,4.66,0,4524.09,7.83,0.59,5,6,8,12,5
35,252.72,15.84,13,16174.02,8.04,1014.02,5.35,0,0,180.48,7.46,138.36,1.94,149.37,7.13,99.77,4.70,0,4730.59,6.54,0.61,4,6,9,12,4
36,252.17,15.98,15,16138.75,6.52,1022.70,4.84,0,0,214.39,8.12,140.34,1.96,132.48,5.71,98.36,4.24,0,4993.30,8.78,0.66,5,6,10,12,3
37,252.74,15.81,16,16175.29,6.83,1011.83,5.06,0,0,206.54,8.47,133.93,1.97,128.00,5.97,94.90,4.43,0,4344.23,9.41,0.63,5,6,11,12,2
38,252.44,16.15,17,16155.99,7.06,1033.44,5.36,0,0,185.54,7.20,136.73,1.88,140.13,6.20,106.39,4.71,0,4896.23,7.53,0.64,3,6,12,12,1
39,358.39,152.25,1,22937.01,16.38,9744.15,16.40,0,0,55.72,5.55,132.53,1.52,126.84,14.44,127.02,14.46,0,2010.25,3.33,0.21,3,7,1,1,1
40,498.70,180.06,1,31916.90,10.84,11523.78,13.27,0,0,70.71,4.88,131.77,1.42,121.43,9.59,148.51,11.75,0,2316.07,2.98,0.34,3,8,1,5,5
41,492.98,184.69,3,31550.94,13.95,11820.47,14.42,0,0,61.58,5.27,133.12,1.45,125.66,12.30,129.82,12.71,0,1534.89,3.21,0.26,3,8,2,5,4
42,501.14,193.53,4,32073.07,7.79,12385.69,8.21,0,0,112.42,6.10,130.92,1.46,110.44,6.82,116.51,7.19,0,2952.46,5.33,0.49,3,8,3,5,3
43,501.82,189.46,6,32116.25,14.95,12125.66,9.61,0,0,86.31,7.01,142.97,1.68,141.58,13.11,91.10,8.42,0,2299.59,3.93,0.30,4,8,4,5,2
44,495.24,200.46,8,31695.51,17.78,12829.30,19.34,0,0,47.74,5.08,132.84,1.48,129.14,15.73,140.33,17.16,0,1116.21,2.40,0.18,4,8,5,5,1
45,97.91,107.39,2,6266.36,7.90,6872.76,9.69,0,0,104.60,5.97,130.20,1.50,106.56,6.93,130.80,8.50,0,3325.86,5.42,0.46,3,9,1,3,3
46,94.36,103.19,5,6039.00,10.72,6604.40,8.23,0,0,93.02,4.87,127.77,1.47,158.11,9.52,121.52,7.30,0,2535.18,4.70,0.47,3,9,2,3,2
47,94.86,99.39,6,6070.77,16.71,6360.84,19.73,0,0,53.17,5.15,134.29,1.64,133.81,14.87,157.48,17.68,0,2355.05,2.62,0.20,5,9,3,3,1
48,98.92,386.65,2,6331.10,4.98,24745.38,4.49,0,0,179.50,6.33,126.47,1.36,108.42,4.34,97.72,3.92,0,3529.68,10.18,0.70,3,10,1,14,14
49,98.71,386.81,3,6317.62,5.12,24756.05,4.57,0,0,180.50,6.85,127.47,1.39,103.65,4.46,92.46,3.98,0,2752.39,9.23,0.68,3,10,2,14,13
50,99.31,386.83,4,6356.01,7.42,24757.12,6.27,0,0,138.22,6.63,129.60,1.53,118.90,6.48,100.59,5.49,0,2618.39,7.36,0.55,3,10,3,14,12
51,98.89,386.85,5,6329.16,4.60,24758.15,5.07,0,0,194.93,7.09,132.37,1.51,97.11,4.01,107.19,4.42,0,3354.61,8.36,0.69,3,10,4,14,11
52,98.72,386.80,6,6317.90,6.44,24755.49,6.63,0,0,142.98,6.32,127.93,1.52,112.11,5.64,115.43,5.81,0,3408.39,7.15,0.59,3,10,5,14,10
53,98.84,386.70,9,6325.91,5.23,24748.93,5.48,0,0,185.20,7.61,128.30,1.59,97.70,4.56,102.38,4.77,0,2697.41,10.55,0.64,4,10,6,14,9
54,98.42,386.66,11,6298.83,5.16,24746.35,5.53,0,0,163.33,6.67,128.94,1.40,97.08,4.50,104.01,4.82,0,2968.25,7.95,0.64,3,10,7,14,8
55,98.77,386.62,13,6321.35,5.38,24743.74,5.30,0,0,159.70,6.37,130.26,1.37,103.57,4.69,102.03,4.62,0,2877.04,7.45,0.65,3,10,8,14,7
56,98.77,386.45,16,6321.11,5.99,24732.64,5.92,0,0,154.75,6.79,132.31,1.48,104.78,5.22,103.72,5.17,0,2876.29,7.08,0.60,3,10,9,14,6
57,99.17,386.46,17,6346.87,7.34,24733.70,8.16,0,0,131.03,6.88,130.39,1.65,107.48,6.43,119.51,7.14,0,3962.79,7.77,0.50,3,10,10,14,5
58,99.04,386.33,19,6338.48,4.52,24724.85,4.60,0,0,175.55,6.15,131.38,1.28,99.00,3.93,100.72,4.00,0,3333.45,8.53,0.71,3,10,11,14,4
